entry_threshold,stop_loss_pct,take_profit_pct,min_confidence,sharpe,max_dd_pct,total_ret_pct,n_trades
0.14,0.04,0.04,0.4,0.7155799292545536,-78.27498366610887,-23.825600227016153,681
0.12,0.03,0.06,0.4,0.7153726849944912,-78.29639354830569,-47.42865335678048,686
0.12,0.05,0.12,0.4,0.715101065933194,-77.50194932028501,-36.61181461795696,519
0.12,0.04,0.06,0.4,0.7135024963878794,-79.79844156069689,-47.70516396809763,643
0.12,0.02,0.1,0.4,0.7123598754628865,-76.76912820872222,-29.189854473266486,697
0.12,0.02,0.08,0.4,0.712285147912376,-79.06956121610091,-37.74354016297511,746
0.14,0.05,0.04,0.45,0.71226910071417,-78.42942846318097,-15.123155247851816,628
0.12,0.05,0.1,0.4,0.7121071790766135,-78.36192966647427,-36.371987729998644,530
0.08,0.05,0.04,0.45,0.7119330465039897,-82.24296732395172,-66.51128937870504,878
0.16,0.04,0.06,0.4,0.7114815833732611,-73.35928426356983,-9.82076862730359,528
0.16,0.02,0.08,0.45,0.7112813446903522,-67.90340758411054,-13.627532210128358,563
0.14,0.04,0.04,0.45,0.7111702341072745,-78.90691188554739,-13.827889691446604,665
0.16,0.05,0.06,0.45,0.7108704519042545,-75.18713594630448,-7.5990494361747984,485
0.12,0.04,0.08,0.4,0.710038417507569,-81.89273516897286,-44.233627709532584,593
0.12,0.05,0.1,0.45,0.7096416750269138,-78.25229821836488,-31.760501908349468,516
0.1,0.04,0.1,0.5,0.7094377790233126,-78.01644817288252,-58.4005070464777,604
0.12,0.03,0.1,0.4,0.7093284376252953,-75.89389143891508,-34.888333500938664,601
0.12,0.02,0.12,0.45,0.7089938193686811,-77.37603527510139,-33.79746345622176,668
0.16,0.03,0.06,0.5,0.7085630712808167,-73.32482992596518,-14.842939648715092,516
0.08,0.04,0.06,0.45,0.7073750036359822,-80.21785661577515,-59.65363244059046,834
0.14,0.02,0.08,0.5,0.7070502546554858,-71.27640497764882,-6.650251665125628,617
0.14,0.05,0.06,0.4,0.706750053887874,-77.18124318147902,-11.113036283559797,550
0.16,0.04,0.04,0.4,0.7064541380811706,-75.95212850123177,-17.906999730796603,618
0.12,0.05,0.06,0.4,0.7057462624994641,-81.66256146794504,-50.191317636101004,597
